source,target,label
"Worse than that, they are insulting this Parliament itself.","Moreover, they are offending the Parliament directly.",1
I cannot accept that and I hope Parliament will not either.,I cannot agree with that and I trust that Parliament will also not.,1
"Mr President, ladies and gentlemen, beverages provide us with some of our nutrition.","Mr President and esteemed members, our nutritional intake includes what we drink.",1
There are naturally other drinks as well.,"Of course, there are additional beverages too.",1
"However, it is important for them to know the quality that is available on the shelves.",It's crucial for consumers to be aware of the product quality offered in stores.,1
"Mr President, I would like to thank Mr Schnellhardt very much for an excellent report.","Mr President, my thanks to Mr Schnellhardt for his outstanding report.",1
That is the first point.,That's the initial argument.,1
I very much hope that we can adopt this report tomorrow.,It's my strong desire that we'll pass this report by tomorrow.,1
The European Commission proposes that this information should enter into force within a period of three years from 1 July 1998.,"This information is proposed by the European Commission to come into effect within three years, starting July 1, 1998.",1
We would like to make the following comments.,We have some remarks we'd like to offer.,1
The presentation and advertising of these drinks attract young people and could result in real damage to public health.,"These beverages are marketed and presented in a way that appeals to the youth, which can lead to serious health issues for the public.",1
It is therefore important that these drinks should be labelled with their ingredients and the percentage of alcohol.,"Thus, it's crucial for these beverages to have labels showing what they contain and their alcohol content.",1
"This short period already seems to be impossible to apply, because it comes too soon after the adoption of the directive.","This brief timeframe appears unfeasible, as it follows too closely on the heels of the directive's adoption.",1
The period proposed by Amendment No 14 is therefore much more realistic.,"Thus, the timeframe suggested in Amendment No 14 is considerably more feasible.",1
"We therefore prefer the latter form, which is also well known by consumers in the food sector.","Hence, we favor the latter option, as it's widely recognized by customers in the food industry.",1
"Mr President, 'grasp all, lose all', as we say in my country.","Mr President, as the saying goes in my country, 'try to hold everything and you'll lose it all'.",1
"Indeed, the Commission referred this proposal to Parliament on 10 February 1997.","On February 10, 1997, the Commission sent this proposal to Parliament for consideration.",1
"No, we cannot agree.","No, we're unable to agree.",1
"I fully support the concept of clear, non-technical and standardised labelling of food products.",I am completely behind the principle of clear and simple standardized food labelling.,1
On genetically modified organisms I would repeat my earlier statements.,"Regarding genetically modified organisms, my prior remarks stand.",1
From this point of view we must have an effective educational programme for consumers.,"Viewed from this perspective, it's imperative to implement a consumer education program that works well.",1
"Mr President, Commissioner, ladies and gentlemen, Mr Schnellhardt, I think that you are all wrong.","Mr. President, Commissioner, esteemed colleagues, Mr. Schnellhardt, I believe you have it all incorrect.",1
I really think that you are mistaken.,I truly believe you have it wrong.,1
"Mr Whitehead, I am a doctor.","Dr. Whitehead, that's my profession.",1
I do not accept that you could suppose for one moment that I support alcoholism.,I reject the idea that I would ever endorse alcoholism.,1
Every day I fight the battle against this scourge.,I combat this affliction every single day.,1
"These are evil, deadly drinks which we should remove from consumption and which are dangerous to young people.","These harmful and lethal beverages must be eliminated from use, especially since they pose a risk to the youth.",1
We are following our approach towards the recent common organisation of the market in wine.,We are adhering to our method for the new collective market arrangement in wine.,1
I realise that traditional products have not normally carried labels as to their content.,"I am aware that usually, traditional products don't have labels indicating what's in them.",1
"Also, labelling cannot solve all problems.",Not every problem can be fixed by labelling.,1
Labelling must be accurate and checked to ensure consumer confidence.,Ensuring labels are precise and validated is key to consumer confidence.,1
Inaccurate and uncontrolled declarations are useless and bring the whole system into disrepute.,Statements that are not precise or regulated are of no value and tarnish the entire system's reputation.,1
"Worse than that, they are insulting this Parliament itself.",They're not just wrong; they are also affronting the dignity of this Parliament.,1
I cannot accept that and I hope Parliament will not either.,"I can't agree with that, and I hope Parliament won't as well.",1
"Mr President, ladies and gentlemen, beverages provide us with some of our nutrition.",Drinks are a source of our nutritional intake.,1
There are naturally other drinks as well.,"Of course, there are also additional beverages.",1
"However, it is important for them to know the quality that is available on the shelves.",It's essential that they are aware of the available quality on the shelves.,1
"Mr President, I would like to thank Mr Schnellhardt very much for an excellent report.","Mr. President, my thanks go to Mr. Schnellhardt for his outstanding report.",1
That is the first point.,That comes first.,1
I very much hope that we can adopt this report tomorrow.,It's my sincere hope that this report will be approved tomorrow.,1
The European Commission proposes that this information should enter into force within a period of three years from 1 July 1998.,"The European Commission has proposed that the information becomes effective within a three-year span starting from July 1, 1998.",1
We would like to make the following comments.,We wish to offer the following remarks.,1
The presentation and advertising of these drinks attract young people and could result in real damage to public health.,The way these beverages are marketed and publicized appeals to the youth and might lead to significant harm to communal health.,1
It is therefore important that these drinks should be labelled with their ingredients and the percentage of alcohol.,"Hence, it's crucial for these beverages to display their contents and the level of alcohol present.",1
"This short period already seems to be impossible to apply, because it comes too soon after the adoption of the directive.","The brief period appears unfeasible for implementation, given its proximity to the directive's passage.",1
